buyerName|buyerCountry|Evaluation|buyerFeedback|buyerProductFeedBack|buyerTranslationFeedback|downVoteCount|upVoteCount|evalData|evaluationId|responsiveness|warrantyService|functionality|status
AliExpress Shopper|MA|100|qualité supérieure||Superior Quality|0|0|28 Oct 2023|60074569295526801||||1
S***일|KR|100|빠른 배송에 만족합니다||I am satisfied with fast delivery|0|0|23 Feb 2024|50115342450019435||||1
A***o|NL|100|Gooed product, fast delivery!||Gooed product, fast delivery!|0|0|02 Jan 2024|30066524437112910||||1
AliExpress Shopper|KR|100|good||good|0|0|27 Oct 2023|50091252269315770||||1
j***o|ES|100|Super practica||Super practica|0|0|05 Mar 2024|30069070636657738||||1
AliExpress Shopper|UA|100|Товар прийшов за 9 днів в Полтавську область на мистекспрес. Ще не користувався.||Goods for 9 days in the Poltava region on the mistex. It's not chiseling.|0|0|05 Apr 2024|30070731041070132||||1
E***o|MX|100|lo recomiendo no pesa mucho y se ve que es resistente||I recommend it does not weigh much and it looks like it is resistant|0|0|12 Nov 2023|60075128585846537||||1
S***b|DE|100|klein, scheint stabil, Funktion noch nicht getestet.||Small, seems stable, function not yet tested.|0|0|11 Mar 2024|30069965742577098||||1
AliExpress Shopper|FR|100|"🙏🙏🙏🙏💈💪💪💪💪💪💪💪💪💪💪
🎇🎆🎏🎎⛺🏕️🌆🏘️🌁🎊🏙️🌆🌃🌃🎈
💈⤵️📢💕💕💕🌬️💕💕💕💕
🤝🤝🤝⭐ II AMAZING II ⭐🤝🤝🤝🟡🔵⚪🟡🔵⚪🟡🔵⚪🟡🔵⚪🟡
🚨☀️☀️V☀️E☀️R☀️Y☀️☀️☀️☀️🚨
⬜🟨🟦💈GOOD DEAL💈🟦🟨⬜
🚨☀️☀️XIÉXIÉ☀️☀️☀️TKU☀️☀️🚨
❤️💛❤️💛❤️💛❤️💛❤️💛❤️💛🤝🤝⭐
My 1✓th"||"🙏🙏🙏🙏💈💪💪💪💪💪💪💪💪💪💪
🎇🎆🎏🎎⛺🏕️🌆🏘️🌁🎊🏙️🌆🌃🌃🎈
💈⤵️📢💕💕💕🌬️💕💕💕💕
🤝🤝🤝⭐ II AMAZING II ⭐🤝🤝🤝🟡🔵⚪🟡🔵⚪🟡🔵⚪🟡🔵⚪🟡
🚨☀️☀️V☀️E☀️R☀️Y☀️☀️☀️☀️🚨
⬜🟨🟦💈GOOD DEAL💈🟦🟨⬜
🚨☀️☀️XIÉXIÉ☀️☀️☀️TKU☀️☀️🚨
❤️💛❤️💛❤️💛❤️💛❤️💛❤️💛🤝🤝⭐
My 1✓th"|2|0|04 Jan 2024|30066392635273238||||1
A***y|QA|100|Good product and quality, I'm really happy with it thanks a lot||Good product and quality, I'm really happy with it thanks a lot|0|0|29 Feb 2024|50115833785085628||||1
R***g|BR|100|Excelente construção. Muito pequeno. Ferramente indispensável. Falta só testar na prática.||Excellent Construction. Very small. Ironately indispensable. Just need to test in practice.|0|0|20 Feb 2024|60079510837100558||||1
Р***ч|RU|100|Соответствует описанию. Доставка раньше срока. Продавец молодец.||As described. Delivery early. The seller is great.|0|0|15 Mar 2024|50119191213467769||||1
Д***н|UA|100|👍👍👍👍👍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐||👍👍👍👍👍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐|0|0|02 Apr 2024|30070780448701224||||1
AliExpress Shopper|MX|100|It is exactly the product that I have ordered, well packaged, very fast delivery, good product tracking, excellent delivery service||It is exactly the product that I have ordered, well packaged, very fast delivery, good product tracking, excellent delivery service|0|0|07 Jan 2024|60078056585988766||||1
E***i|PL|100|polecam sprzedawcę towar wysyłany szybko jak i szybka dostawa jakość dobra zgodne z opisem zakup godny polecenia||I recommend the seller the goods shipped quickly as well as fast delivery. The quality is good according to the description. The purchase is highly recommended|0|0|12 Jan 2024|30066669034389465||||1
AliExpress Shopper|FX|100|Je ne l'ai pas essayé, mais produit qui semble de qualité, léger pratique à glisser dans un sac à dos.||I have not tried it, but product that looks quality, lightweight convenient to slip into a backpack.|0|0|30 Nov 2023|30065410688773129||||1
J***a|PL|100|Bardzo szybko dotarła przesyłka. Produkt godny polecenia. Polecam||The shipment arrived very quickly. Product worthy of recommendation. I recommend|0|0|03 Feb 2024|30067716645816678||||1
щ***ч|RU|100|лес валить не получится, а вот на рыбалку или в лес взять можно. в машине много места не занимает||You will not be able to cut the forest, but you can take it for fishing or in the forest. Does not take up much space in the car|0|1|29 Oct 2023|50091503018534961||||1
a***r|UA|100|Ланцюжок дрібніший, ніж уявлялось, дивлячись на бензопилки. ріжучий зуб у кожній четвертій ланці - не густо. Про продуктивність можна буде говорити після використання.||The Lancel of the Lancel, it seemed, marveled at the chainsaws. The third tooth in the skin quarter Lance is not thick. About productivity, you can talk about the productivity.|1|0|21 Nov 2023|60075878449536616||||1
V***o|UA|100|на вигляд добротно. не перевіряв в роботі взяв на всяк випадок||On the viglyad soundly. Not having turned into robots, taking every vipadok|0|0|24 Jan 2024|30067706972973070||||1
A***v|ES|100|Looks like a high-quality item. I didn't have a chance to test it yet.||Looks like a high-quality item. I didn't have a chance to test it yet.|1|0|05 Nov 2023|30064933191796827||||1
A***o|UA|100|Товар реально рабочий. Минимум места. Классный чехол. Очень понравился. Спасибо.||The product is really working. Minimum space. Cool case. I liked it very much. Thank you.|0|0|23 Feb 2024|30068879162307988||||1
A***A|PL|100|Very good seller. Quick delivery. Goods as described. I recommend the seller to a friend||Very good seller. Quick delivery. Goods as described. I recommend the seller to a friend|0|0|22 Mar 2024|30070249251066961||||1
M***k|US|100|The package arrived fine. Thank you for the business.||The package arrived fine. Thank you for the business.|0|0|05 Feb 2024|30068345722096180||||1
으***으|KR|100|날이 드문드문 있는게 상품 사진에서도 나오다가 다른 사진에선 칼날이 체인에 다 달린거 보면 추천을 할 수가 없음.||It is recommended that the day is rare and the blade is on the chain in other pictures. Can't do it.|0|0|08 Nov 2023|50093271156386957||||1
AliExpress Shopper|US|100|Satisfecho con la compra. Recomiendo producto y vendedor. Muchas gracias!||Satisfied with the purchase. I recommend product and seller. Many thanks!|0|0|11 Jan 2024|30066849503739706||||1
L***s|BR|100|me parece funcionar. testei em um tronco e cortou bem||Seems to me to work. I tested it on a trunk and it cut well|0|2|11 Nov 2023|60075423012496020||||1
AliExpress Shopper|FR|100|très bien. Pas encore utilisé mais les dents ont l’air bien aiguisées||Very well. Not yet used but the teeth look sharp|0|0|12 Dec 2023|30065992373326706||||1
o***h|UA|100|Пила понравилась,места занимает мало.Есть чехольчик,качество добротное.||I liked the saw, there is little space. there is a case, the quality is good.|2|0|03 Nov 2023|30064866885842569||||1
M***n|UA|100|Перевірив - крута штука. Іноді йде не зовсім рівно, тому іноді підклинює і треба поправляти. Але пилить добре||Overturning is a cool thing. I don't call it very much, and I need to correct it. Ale saw good|0|0|20 Mar 2024|30070159673854152||||1
AliExpress Shopper|CA|100|Item as described and better than expected. It comes in a very durable belt pouch. Thanks!||Item as described and better than expected. It comes in a very durable belt pouch. Thanks!|0|0|03 Jan 2024|60077859308774045||||1
М***ч|RU|100|Хорошая пила, коротковата немного, но это смотря что пилить.||A good saw, a little short, but it depends on what to saw.|0|1|02 Dec 2023|50097740681402180||||1
U***r|UA|100|"Перевага - займає мало місця. Пиляти досить важко. Якщо не дуже критично об""єм, то краще взяти маленьук складану ножовку, нею легше пиляти і найголовніше - молжна пиляти однією рукою, а другою тримати."||"I got a little Miska. Pilati to finish off important. Yakshchi is not even more critical about ""Um, then take the little ones out of the hacksaw, it is lighter than the pilit and the naygolit-the molzna pilit with one hand, but with another trimati."|0|4|23 Dec 2023|60077737032304884||||1
h***o|ES|100|Parece que va bien. Ahora la probaré más en profundidad||Looks like it's going well. Now I will test it more in depth|0|0|05 Feb 2024|30068061999070665||||1
А***в|RU|100|пила на вид добротная,понравилась ,в деле не испытана,посмотрим)||Saw looks good, liked it, not tested in business, let's see)|0|0|13 Jan 2024|50106736690632175||||1
м***ш|UA|100|легенька , компактна пилка , доволі гостра . Тестив пиляє добре||Light, compact file, good gostra. Dough piling|1|0|05 Dec 2023|60076376572537119||||1
C***T|FR|100|Pas encore essayé mais pourrait remplir sa fonction. Est pratique concernant la place occupée. La pochette est un plus pour ne pas abimer.||Not yet tried but could fulfill its function. Is convenient regarding the occupied place. The cover is a plus not to damage.|0|0|08 Feb 2024|30068193280764624||||1
R***a|BR|100|corte rápido pra galhos pequenos, trocos mais grande tbm corta porém exige muito resistência nos braços!||Quick cut for small branches, bigger changes also cut but requires a lot of resistance in the arms!|0|0|18 Jan 2024|60078713030582184||||1
E***r|ES|100|genial invento para llevar encima. ocupa poco espacio y corta muy bien incluso troncos grandes||Great invention to wear. Takes up little space and cuts very well even large logs|0|0|21 Nov 2023|30065143003786873||||1
A***z|MX|100|muy práctica y cortes rápidos párese ser muy duradera, ya se verá con el huso.||Very practical and quick cuts to be very durable, it will be seen with the spindle.|0|0|05 Jan 2024|60078260259517871||||1
Y***v|UA|100|Небольшой чехол, свиду все ок но пробовать на деле буду уже весной как открою палаточный сезон||A small case, I will see it all OK, but I will actually try it in the spring when I open the tent season|0|2|27 Nov 2023|60076188452091136||||1
A***y|PL|100|качественно не проверял в действии. так на всякий случай .можна брать .русня педики||Did not check qualitatively in action. So just in case. Can take. Mermaid Pedics|1|0|09 Jan 2024|60078126509799861||||1
r***s|MX|100|exelente dudaba que me funcionará pero fue muy rápido los cortes y la entrega rápida menos de 2 semanas||Exelente doubted it will work for me but the cuts and fast delivery were very fast less than 2 weeks|0|0|29 Jan 2024|60078998479211394||||1
P***l|CZ|100|dont tested yet,but looks strong enough to cut wood||dont tested yet,but looks strong enough to cut wood|0|0|31 Jan 2024|30067796844120125||||1
a***a|BR|100|excelente.resiste, corta bem em galhos finos e verdes. melhor e mais rápido que facão.||Excellent. resists, cuts well into thin, green branches. Better and faster than machete.|0|1|29 Jan 2024|60078989082687166||||1
Е***ч|RU|100|пилит на ура, брал за 280, советую||Sawing with a bang, I took the 280, I advise|0|0|06 Apr 2024|50122730949215463||||1
AliExpress Shopper|HR|100|Excelent quality, came neatly packaged and works great. Would recommend and buy again.||Excelent quality, came neatly packaged and works great. Would recommend and buy again.|0|0|07 Nov 2023|60075109250820632||||1
AliExpress Shopper|CL|100|haven't used it but looks very nice||haven't used it but looks very nice|0|0|12 Apr 2024|30071366484622747||||1
M***k|PL|100|Zgodne z opisem, wszystko ok dostawa do Polski ok 10dni||As described, delivery to Poland is OK about 10 days|0|0|20 Jan 2024|30067087894088189||||1
Б***а|RU|100|дошло. на первый взгляд все хорошо как пилит пока не знаю||It has come down. At first glance I don't know everything well as a saw yet|0|1|09 Dec 2023|50099034767741378||||1
M***r|TR|100|ürün güzel, kargo çok hızlı. Türkiye'ye yaklaşık olarak 15 günde geldi, kargoya hemen verildi. güvenilir satıcı. ⭐⭐⭐⭐⭐||The product is beautiful, the shipping is very fast. Came to Turkey in approximately 15 days, the cargo was given immediately. Reliable seller.⭐⭐⭐⭐⭐|0|0|23 Nov 2023|60076012863236148||||1
AliExpress Shopper|ES|100|no está mal, todavía no he cortado un árbol||Not bad, I still haven't cut a tree|1|0|24 Nov 2023|30065668504169924||||1
N***o|UA|100|Внешне выглядит не плохо. В работе не проверял.||Looks not bad outwardly. In the work did not check.|0|0|22 Jan 2024|30067391198438026||||1
A***a|BR|100|muito útil.  excelente qualidade do produto||Very useful. Excellent product quality|0|0|06 Jan 2024|60078313903877526||||1
AliExpress Shopper|MX|100|buen producto,ya confirmado con uno anterior||Good product, already confirmed with previous one|0|0|16 Jan 2024|60078635016916071||||1
A***o|UA|100|В деле не проверял, на вид подходит по описанию.||I did not check in the case, it looks like it fits the description.|0|0|01 Feb 2024|30067872339654452||||1
С***ч|UA|100|на вид не плохая, ещё  не тестировал||It looks not bad, not tested yet|1|0|16 Nov 2023|60075674285772018||||1
V***v|UA|100|Прийшла швидко. У роботі не перевіряв.||Shvidko came. The robots do not change.|0|0|26 Jan 2024|30067824922504492||||1
AliExpress Shopper|AU|100|fast delivery and exactly what I wanted||fast delivery and exactly what I wanted|0|0|03 Jan 2024|60078115502546849||||1
J***o|US|100|Gostei, melhor do que esperava.||I liked it, better than I expected.|0|0|15 Dec 2023|60077228459380495||||1
AliExpress Shopper|MX|100|se ve y llegó bien, aún no lo uso||It looks and arrived well, I still don't use it|0|0|15 Feb 2024|60079404008958422||||1
A***a|AD|100|No la he probado pero parece robusta||I haven't tried it but it seems robust|0|0|11 Feb 2024|30068627304064334||||1
C***e|FR|100|Sûrement très bien, pas encore utilisé||Surely very well, not used yet|0|0|15 Jan 2024|30067050755315145||||1
M***z|DE|100|Schöne handliche Säge sehr wertvoll||Beautiful handy saw very valuable|0|0|12 Dec 2023|60077034398558429||||1
l***r|CA|100|as advertised.  nice little flashlight holder.||as advertised.  nice little flashlight holder.|0|0|21 Mar 2024|60080370026238471||||1
AliExpress Shopper|UA|100|На вигляд норм. Компактна. В роботі ще пробував||On the viglyad of norms. Compact. In robot sampling|2|1|26 Nov 2023|60076182242215160||||1
E***r|ES|100|Haven’t used it but its as described||Haven’t used it but its as described|0|0|19 Jan 2024|30067010243547911||||1
g***U|KR|100|좋은물건 잘 사용할께요.||I'll use good stuff.|0|0|01 Apr 2024|50122288073973938||||1
P***g|AU|100|Very good value for the quality!||Very good value for the quality!|0|0|21 Jan 2024|60078790480304048||||1
F***a|BR|100|me parece ser bom ainda não tes||It seems good to me still not you|0|0|08 Dec 2023|60076876281764504||||1
M***L|UA|100|Зручна але ще не має можливості спробувати)||I don't know if I don't try my mouth)|0|0|24 Jan 2024|30067722530145498||||1
S***s|SA|100|حلوه و تحت التجربه||Sweet and experiable.|0|0|27 Mar 2024|50121449219147508||||1
AliExpress Shopper|UA|100|Товар класний. Ще не перевіряв у справі||The product is classy. More without being overturned|0|1|16 Nov 2023|60075641089636939||||1
D***o|UA|100|среднее качество||Average quality|0|0|26 Mar 2024|30070763765687425||||1
T***ý|SK|100|A+||A+|0|0|15 Apr 2024|30071218298288529||||1
P***U|FR|100|Parfait, livré en 7 jours||Perfect, delivered in 7 days|0|0|22 Feb 2024|30068838855464513||||1
i***i|BR|100|ótimo produto||Ótimo produced|0|0|27 Nov 2023|60076197228468818||||1
F***r|FR|100|conforme à la description||In accordance with the description|0|0|29 Dec 2023|30066695744743750||||1
v***r|DE|100|Alles super!||Alles super!|0|0|03 Feb 2024|30067727038434893||||1
a***r|DE|100|scharfe Sache||Sharp thing|0|0|28 Oct 2023|60074309708548544||||1
b***b|CH|100|Super Danke 😎😎||Super thank you😎😎|0|0|10 Jan 2024|30066572262093957||||1
A***e|PT|100|Bom material||Good material|0|0|03 Feb 2024|30067948882959681||||1
S***g|US|100|Good quality,thanks!||Good quality,thanks!|0|0|02 Nov 2023|60074907907541174||||1
R***Y|FR|100|a l air bien||a l air bien|0|0|13 Dec 2023|30065808223633437||||1
AliExpress Shopper|SK|100|Good but not tested yet.||Good but not tested yet.|0|0|23 Dec 2023|60077727443840077||||1
Ш***ч|RU|100|Всё Ок, на вид надёжная!||It's okay, it looks safe!|0|1|13 Nov 2023|50094363037221179||||1
С***|RU|100|рабочая тема||Working theme|0|1|08 Nov 2023|50093954458610298||||1
T***L|US|100|Super utile||Super useful|0|0|01 Mar 2024|60079791523842408||||1
M***i|IT|100|Molto utile per il campeggio.||Very useful for camping.|0|0|11 Dec 2023|30066179327070293||||1
AliExpress Shopper|NZ|100|good product A1 thanks||good product A1 thanks|0|0|11 Nov 2023|60075394633118487||||1
U***r|FR|100|IZRAHELL TERARIST||IZRAHELL TERARIST|0|0|22 Mar 2024|30070035044778195||||1
E***a|RO|100|Not tested yet||Not tested yet|0|0|17 Nov 2023|60075689186200720||||1
R***s|LT|100|ok||ok|0|0|28 Oct 2023|60074631194906277||||1
A***O|ES|100|TODO PERFECTO||All perfect|1|0|07 Nov 2023|30064966492147913||||1
J***i|IL|100|Excellent.||Excellent.|0|0|06 Dec 2023|50098737086423222||||1
V***r|CZ|100|dorazilo, musím vyzkoušet||Dorazilo, musím vyzkoušet|0|0|08 Jan 2024|60078087329340618||||1
D***s|ES|100|Deseando probarlo en la calle||Looking forward to trying it on the street|1|0|19 Dec 2023|30066429320849534||||1
